,STOCK,Datetime,Tweet Id,Text,Reply Count,Like Count,Quote Count,View Count,Vibe,Retweet Count,Conversation Id
0,AMZN,2023-05-18 14:53:45+00:00,1659210673552003083,@iamjaydk The link provided earlier is to connect with our Social Media team via chat. Please connect with our team and our team will assist you accordingly. -Sumit,0,0,0,,,0,1659207969589063685
1,AMZN,2023-05-18 13:53:39+00:00,1659195549273448449,"@12thlighthouse We know how it is! In order to cook ALL the things, you NEED ALL the cooking things! 😄 🥘 We'd love to help you get your cook on, by sending you a little surprise! 🎁 When you have a moment, please send your details to us here: https://t.co/I9pIEnZlm5.",0,0,1,6.0,,0,1655642293875925003
2,AMZN,2023-05-18 12:53:31+00:00,1659180412353036288,@nakamdenFR Yay! 🙌 We're happy to hear it was delivered! 😃 📦 🚚 #DeliveringSmiles,0,1,1,14.0,,0,1657868674861080581
3,AMZN,2023-05-18 00:41:17+00:00,1658996141336272896,@taiigbaroola 🙌 We aim to deliver! 🎯🛒📦🚚❤️,0,0,0,94.0,,0,1658990468875599872
4,AMZN,2023-05-17 23:23:54+00:00,1658976665811255305,@GamerQueen2k17 Ooh! 😮 Those sounds so fab! 🌊 Anything else on your list?! 🤔💡,0,0,0,46.0,,0,1658943626003599360
5,AMZN,2023-05-17 23:22:53+00:00,1658976413662191616,"@thetexasbird Omgosh, that's so awesome! 🙌 If you feel comfortable, can you tell us how old he is? Does he have any favorite kind of toys yet? 🧸🧩",0,0,0,30.0,,0,1658955323493818374
6,AMZN,2023-05-17 23:05:40+00:00,1658972077943144449,@NattQueenCole1 Yasssss! 🙌 Winning a gift card always makes the day better! 🛒📦 Any ideas on what you're gonna get?! 🤔❤️,0,0,0,39.0,,0,1658967077368262657
7,AMZN,2023-05-17 22:23:05+00:00,1658961360737259521,@thetexasbird How cute is THIS?! ❤️ What's baby's latest milestone?! 👶🛒📦,1,1,0,288.0,,0,1658955323493818374
8,AMZN,2023-05-17 21:43:55+00:00,1658951506047975424,@GamerQueen2k17 🙌 YES bestie! ☀️ What's been your fav find so far?! ⛲⛳🍦,1,1,0,268.0,,0,1658943626003599360
9,AMZN,2023-05-17 21:43:08+00:00,1658951307103809537,"@kalynmm_ Awww, thanks for the shout~out! 📣💙💛",0,0,0,21.0,,0,1658928162745753608
10,AMZN,2023-05-17 21:04:14+00:00,1658941521134067712,"@solishady Debido a que tu cuenta se encuentra suspendida solo puedes ponerte en contacto vía telefónica al número brindado en el enlace anterior.
-Nik M.",1,0,0,18.0,,0,1658939559231512584
11,AMZN,2023-05-17 21:00:22+00:00,1658940545383776260,"@solishady ¡Hola! 

Si tu cuenta se encuentra suspendida o bloqueada puedes ponerte en contacto a través de este enlace: https://t.co/KFgtCP4NAH.

-Nik M.",1,0,0,26.0,,0,1658939559231512584
12,AMZN,2023-05-17 20:32:30+00:00,1658933532033531904,@kalynmm_ 😮🛒⚡📦🚚❤️,1,0,0,23.0,,0,1658928162745753608
13,AMZN,2023-05-17 20:16:11+00:00,1658929425616871426,"@h_daniellla 🎶 Oh, oh it's magic! 🎶🛒📦❤️🎩🐇",1,14,0,420.0,,0,1658877557540782099
14,AMZN,2023-05-17 20:07:02+00:00,1658927125905260544,Springing into action to get packages to front doors everywhere. 🌸 🌸 #AmazonAir https://t.co/QJVy11XMAX,35,92,3,38049.0,,20,1658927125905260544
15,AMZN,2023-05-17 19:43:56+00:00,1658921312406892545,@Longgg_Leggs 🛒📦🚚❤️,0,1,0,44.0,,0,1658887101914415112
16,AMZN,2023-05-17 15:55:50+00:00,1658863906289319938,@itsmgb_ We love a good random assortment order! 👏 👏 What's the coolest thing in your order?! 😎 😎,2,0,0,135.0,,0,1658706446748381185
17,AMZN,2023-05-17 15:26:24+00:00,1658856501270704129,"@_L_i_z We love your tweet! Mind if we use it? For more info, https://t.co/gILEtoweKM. If it sounds good, reply with #YesRepost",1,0,0,32.0,,0,1645145583651520512
18,AMZN,2023-05-17 15:24:42+00:00,1658856071895699458,"@Shade510 We love your tweet! Mind if we use it? For more info, https://t.co/gILEtoweKM. If it sounds good, reply with #YesRepost",0,0,0,28.0,,0,1646201138721570859
19,AMZN,2023-05-17 15:18:49+00:00,1658854592434536449,@nancybearr WE LOVE DEEP CLEANING! 🧼 🧼 Like it could literally be a hobby of ours. Please tell us you've also seen the steam cleaning videos out there?! 💨 💨 Has us cleaning things we didn't know needed cleaning. 😂,0,1,0,53.0,,0,1658841859936985097
20,AMZN,2023-05-17 15:06:30+00:00,1658851491518590979,"We just launched a new lineup of @alexa99 Echo devices. 🎉 

From the all-new Echo Pop, the next generation of Echo Show 5 and Echo Show 5 Kids, to all-new Echo Buds, there’s lots to be excited about. Details this way. 👉 https://t.co/HILnpNz2xT https://t.co/VsQpI5lczN",34,109,7,109941.0,,26,1658851491518590979
21,AMZN,2023-05-17 14:36:15+00:00,1658843881360744448,@iiiamdej We feel like this is the ultimate love language! ❤️,0,1,0,68.0,,0,1658802118373801986
22,AMZN,2023-05-17 00:38:20+00:00,1658633012823695362,@Liaa_andhersks 🙌 What kinda books are your fav?! 🕵️💥❤️📚,0,0,0,81.0,,0,1658614651750346754
23,AMZN,2023-05-17 00:06:26+00:00,1658624981956194313,@Snugzmeow 😮 So pretty! 🛒🌵💚,0,0,0,96.0,,0,1658618237373014021
24,AMZN,2023-05-16 23:55:38+00:00,1658622264290553856,@cheeseluis_ 🙌 Yassss! We're excited for you! 💜 We love a good book order! 📚📚📚,0,1,0,88.0,,0,1658616490772541440
25,AMZN,2023-05-16 23:55:17+00:00,1658622179322281986,@justsayMILO ❤️🛒📦🚚❤️,1,1,0,86.0,,0,1658603141024354305
26,AMZN,2023-05-16 23:07:05+00:00,1658610049013391362,@PureLuvbaby 😮 That sounds so fabulous! 💚💛,0,0,0,35.0,,0,1658548595329491001
27,AMZN,2023-05-16 21:46:54+00:00,1658589869436727298,@orestes202 The BEST! 🛒📦🚚💙,0,1,0,82.0,,0,1658579701588275201
28,AMZN,2023-05-16 19:28:42+00:00,1658555090024775682,@PureLuvbaby Ooh! 🎉 How exciting! 🙌 Do you have any special theme or color scheme?! 🛒📦💜,1,1,0,108.0,,0,1658548595329491001
29,AMZN,2023-05-16 18:21:33+00:00,1658538190423179266,@LP1822 😘😘😘,0,1,0,49.0,,0,1658206698786398218
30,AMZN,2023-05-16 17:47:20+00:00,1658529580641050625,"@dawna28 Let's look into this matter together. When you have a moment, please get in contact with us here: https://t.co/YyJL5t4r2h, and we can provide additional assistance. -Ash",1,0,0,82.0,,0,1658440194490789895
31,AMZN,2023-05-16 17:36:08+00:00,1658526762072932375,@SimplyJu3 😮 Ooh! You're feelin BUBBLY!! ✨💧💛,0,0,0,86.0,,0,1658514224769892352
32,AMZN,2023-05-16 17:32:27+00:00,1658525834037043200,"@12thlighthouse  Wow! 😮 There's no ifs, ands or BUNDTS about it... that looks delicious! 🤤 😋 You definitely know how to bake! Are desserts your favorite thing to make, or do you love to cook ALL the things?",1,2,0,29.0,,0,1655642293875925003
33,AMZN,2023-05-16 17:28:33+00:00,1658524854587359254,@yourfav_fantasi Squeee! 👏 What are you most excited for?! 🛒📦❤️,0,0,0,72.0,,0,1658515027979010060
34,AMZN,2023-05-16 17:23:24+00:00,1658523558484508674,"@joaojotta Thanks for the additional information! We'd like to look into this for you. Could you confirm which marketplace you're using (.com, .ca, .uk, etc.), so we can further assist? -Sarah",1,0,0,30.0,,0,1658498308774526976
35,AMZN,2023-05-16 17:10:21+00:00,1658520272461234179,Tic Tac Toe: Robot style. ❌⭕️ Proteus out here winning for our customers! https://t.co/AG09JUQGVS,45,74,2,45839.0,,22,1658520272461234179
36,AMZN,2023-05-16 16:47:52+00:00,1658514615901224964,"@joaojotta Thanks for confirming. Please try these troubleshooting steps: 
Restart the device. 
Make sure the application is up-to-date. 
Restart the application (make sure the app is closed and is not running in the background).
Uninstall and reinstall the application. -Daniel",1,0,0,17.0,,0,1658498308774526976
37,AMZN,2023-05-16 16:39:03+00:00,1658512394551799808,@LP1822  YAY!! 🥳 You're welcome! We're so happy to see that you ❤️ them! Stay sweet! 🍬,1,1,0,87.0,,0,1658206698786398218
38,AMZN,2023-05-16 16:28:54+00:00,1658509843483770880,"@joaojotta Hello. We're so sorry to hear you’ve had a poor experience. Are you referring to the Amazon Shopping app, Prime Video, or another? Keep us posted. -Daniel",1,0,0,90.0,,0,1658498308774526976
39,AMZN,2023-05-16 15:52:29+00:00,1658500676165545987,"@_QUAN_X Aww, we love you too! 🥰 Thank you so much for the lovely shout-out! 🧡",0,0,0,52.0,,0,1658171836926947329
40,AMZN,2023-05-16 15:09:47+00:00,1658489929406763011,@VivekSaha We get your concern. Could you please confirm what was the response provided to you by our Social Media team? -Tripti,1,0,0,41.0,,0,1658486710731415555
41,AMZN,2023-05-16 15:03:45+00:00,1658488413446877186,@FFR_RedBullGT We're so excited to hear that you enjoy our speedy service. 🚚 You're much appreciated! 😍,0,1,0,17.0,,0,1657089946828562443
42,AMZN,2023-05-16 13:30:00+00:00,1658464820822265857,"🍓🍌🍇 ATTN all foodies and tech enthusiasts: Amazon Fresh grocery stores are an absolute game changer! 

From high-tech shopping carts to Alexa-enabled kiosks, this takes food shopping to a whole new level. ⬇️ https://t.co/6dIA8tde6G",39,90,4,54398.0,,20,1658464820822265857
43,AMZN,2023-05-16 13:24:22+00:00,1658463404007227394,@shadowkissedd We're so very happy that you love your surprise! 📚 🥰 Have a wonderful time getting lost in the pages! ❤️,0,2,0,96.0,,0,1656790360922750984
44,AMZN,2023-05-16 13:21:00+00:00,1658462554396545024,@webmastersteel There's something positively magical about getting lost in the pages! 📚 ✨,1,0,0,50.0,,0,1644335684386271233
